,contract_id,starts_on,company_id,first_disb_date,grace_period_days,max_disposition_percentage,projection_uuid,projected_financing_days,principal_amount,take_rate,min_daily_payment,max_daily_payment,disbursement_fee,blended_contract_id,projection_method,payment_model,product_type,platforms,sat_conn,first_dd_date,sat_declaration_rate,total_sat_rate,avr_cf_l3m,avr_cf_l6m,avr_cf_l12m,avr_gross_m_l3m,avr_gross_m_l6m,avr_gross_m_l12m,avr_net_m_l3m,avr_net_m_l6m,avr_net_m_l12m,av_itmes_l3m,av_itmes_l6m,av_itmes_l12m,av_amount_l3m,av_amount_l6m,av_amount_l12m,moratory_av_itmes_l3m,moratory_av_itmes_l6m,moratory_av_itmes_l12m,moratory_av_amount_l3m,moratory_av_amount_l6m,moratory_av_amount_l12m,meli_fin_var,peg_invoicing,concentration_clients,data_sat_days,l3m_total_employees,l6m_total_employees,l12m_total_employees
170,b8de5061-3953-4e1c-8113-102cc9182b35,2022-03-07,0245ca7d-10f2-496d-834b-b766d171d055,2022-03-14,30,0.6,e80846f1-f860-4ab1-bb66-5f11ed0b5819,180,6000000.0,0.0,31500.0,31500.0,0.0875,0,0,fixed-payments,working-capital,4,1,2022-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,d9eabab8-98b5-498d-8f05-ca08da01bd51,2022-02-04,c6530cf1-6942-4341-aa7a-36dfa3514de8,2022-02-04,30,1.0,aeceed09-389e-409b-bf19-918f1b3c1b92,90,11000000.0,0.0,127233.33,127233.33,0.041,0,0,fixed-payments,working-capital,2,1,2022-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,75b4ed8b-027b-4612-8657-3f480e322f81,2022-05-19,f4a0e507-4b68-46d6-bbe8-22ad875f96de,2022-06-03,30,0.3,5019466b-5974-4d01-806b-35ed7d4b7721,270,1200000.0,0.0,5590.0,5590.0,0.11,0,rp,fixed-payments,working-capital,3,1,2022-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,782d1322-6ede-4162-a0d2-a8729b5083a7,2022-04-26,b9ee9c85-11bf-44a4-9d9c-f1d651080c46,2022-05-03,30,0.3,02ac8fef-dd79-48df-9ef0-2ebcda1aa14d,270,900000.0,0.15,3750.0,4800.0,0.111,0,cs,revenue-based-capped,working-capital,1,1,2022-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,5d34e48a-e7ad-4910-b6d3-c373f1f4c565,2022-05-19,b45c2224-29da-4854-ae92-24f48e04798a,2022-06-06,30,0.3,8b3a0de7-e4e0-4d43-845d-846dfe708190,270,1100000.0,0.0,5150.0,5150.0,0.113,0,rp,fixed-payments,working-capital,3,1,2022-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,bddfa5fd-d620-4f91-ae64-902b355dad91,2022-06-02,c3f2227b-7bcc-491d-9cc4-02de558f18df,2022-07-06,30,0.3,39bf8b19-0cbb-4540-82ed-d46582ae1f9a,270,300000.0,0.125,1300.0,1550.0,0.13,0,rp,revenue-based-capped,working-capital,2,1,2022-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,2ff83824-3eb1-40fc-baa6-940d3e9a0ce0,2022-04-28,7b117b00-5c61-4a5c-92a8-73edaa99797b,2022-05-09,45,0.28,648ed20c-06b5-43c9-b4ea-34bd3215aad1,277,4000000.0,0.0,18950.0,18950.0,0.0885,0,sp,fixed-payments,working-capital,3,1,2022-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,c588271b-c4d6-4705-8f53-4345ca9343ae,2022-05-31,c68c0123-360c-4357-8364-8850bc08107e,2022-06-06,30,0.4,6061da3b-5e68-45a2-a62e-25e79bfc48f7,270,625000.0,0.0,2970.0,2970.0,0.123,0,rp,fixed-payments,working-capital,1,1,2022-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,99c3f940-6696-4f24-a3d0-4fddd2ef65ee,2022-06-03,d5b21d32-a5bc-4134-860b-c336574a4c07,2022-06-13,30,0.3,61c7a236-d513-4249-95b8-551880d3a211,270,400000.0,0.17,1600.0,2100.0,0.126,0,pandemic,revenue-based-capped,working-capital,4,1,2022-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,232cec84-fc9c-4a1b-9dc4-3d556e97862b,2022-05-19,6ff74305-cf00-427c-849a-b67db8c5697e,2022-05-24,30,0.34,dd664a2e-ff69-4b57-860d-c01f3ea01b05,270,1000000.0,0.23,4050.0,5500.0,0.108,0,rp,revenue-based-capped,working-capital,4,1,2022-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,59b4b0d2-5dbc-45e3-bf8a-2dab9cb2636a,2022-02-25,b5ba51c5-c829-492f-a7ee-51864f8fcd64,2022-03-04,30,0.3334,07babb4a-009f-43ff-a19d-5d10ff9dfc19,150,3000000.0,0.09,13000.0,15500.0,0.1,0,0,revenue-based-capped,working-capital,2,1,2022-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,9f6f3ef7-2083-4293-82c6-0535f3e4c4a4,2022-06-15,74140378-abc4-4977-bdee-a5ff54118471,2022-06-29,30,0.3,4c831a9e-6036-42d0-a6a1-9a6540ae2ac7,300,200000.0,0.076,775.0,1100.0,0.16,0,rp,revenue-based-capped,working-capital,2,1,2022-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,76d0a3bb-00a1-443b-acfa-88a3317731ec,2022-01-06,f6926792-ef0f-4cd9-a5ea-566383a4bced,2022-02-02,30,0.33,e0454d99-ff07-4917-bc19-19e69e664c64,150,850000.0,0.35,4000.0,5500.0,0.1,0,0,revenue-based-capped,working-capital,2,1,2022-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,3c7033e3-5b7e-4e34-8e94-5b01b9b87fcd,2022-01-11,b4e0f9de-e5fe-4be6-8c26-00e3bc520c36,2022-02-01,30,0.25,eeb6a6ec-cf3d-45c4-be4c-e29b749689f1,180,840000.0,0.1,3500.0,4400.0,0.106,0,0,revenue-based-capped,working-capital,4,1,2022-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,ea6eb172-0a88-4abb-bf37-477ddc1afeb5,2022-06-17,0c60cc83-42ac-4229-9cdd-3a2887400d32,2022-06-27,60,0.4,a320b93b-0d2a-44e2-ac82-ffb0e23232b1,270,20000000.0,0.0,107200.0,107200.0,0.1075,0,rp,fixed-payments,working-capital,4,1,2022-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,5e839a1e-76bf-4e8a-b4c2-091af13117b1,2022-02-02,fc217efb-1a75-421a-8d11-d58dcb424558,2022-02-14,30,0.34,31146ea3-23f8-4bdb-a19d-5edd206fd1cd,300,1200000.0,0.325,4650.0,5650.0,0.118,0,0,revenue-based-capped,working-capital,1,1,2022-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,0b9e16f6-0a0a-48a3-b9fe-8a25c9e656a3,2022-02-10,424db1e7-26fe-4dda-bfcc-7ab59fe95040,2022-02-15,30,0.3333,d60a0e11-52c0-474c-a305-7b1ab76423bf,270,800000.0,0.2,4830.0,6500.0,0.13,aa7ba6b9-240c-419a-9c92-6f254049e657,0,revenue-based-capped,working-capital,3,1,2022-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,b48fd2bf-83d7-4c24-849e-eaf097d00ab6,2022-06-24,4bee6f2e-7cba-42a5-a534-1b178ba89565,2022-07-04,30,0.4,870f0b47-4972-488e-b837-3bf934433f57,270,1250000.0,0.0,5900.0,5900.0,0.12,0,rp,fixed-payments,working-capital,1,1,2022-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,3f1895aa-0812-406b-a7d5-af3f0e820d76,2022-02-25,e7928df0-2c4b-4a89-833b-8d0957495430,2022-03-03,30,0.3334,7256bb43-5d06-4ed0-b961-c10b04e7487f,210,450000.0,0.175,1700.0,2300.0,0.132,0,0,revenue-based-capped,working-capital,1,1,2022-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,10a83517-5107-489a-a2d2-111dbff74e30,2022-06-20,61f4a820-2f2b-46e3-9451-aa23ba071ff4,2022-07-06,30,0.34,ce6fb691-cfc8-4c74-80ca-494afcba0d02,270,1800000.0,0.203,6900.0,10000.0,0.104,0,rp,revenue-based-capped,working-capital,1,1,2022-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,7efdb1f6-95cd-4d2b-b62f-06b8f2edd136,2022-03-07,30e8ae36-9059-437b-b2d8-37eb9f19224c,2022-03-24,30,0.6,8304a980-4210-4b29-9674-4e680b40a942,180,4500000.0,0.0,20838.0,20838.0,0.096,0,0,fixed-payments,working-capital,1,1,2022-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,91f3961e-9362-4157-9b52-089e2ff894fb,2022-06-21,aa50d301-3676-495e-991c-ebbb0e1f73f6,2022-07-01,30,0.3,eadfd2a1-e377-4acc-bc5e-f2094379d21d,270,3200000.0,0.25,13100.0,16600.0,0.096,0,rp,revenue-based-capped,working-capital,2,1,2022-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,f4b35835-333a-4fa1-b453-a2b1f356bc08,2022-06-17,164e2936-defd-49a4-9809-db09a83117a7,2022-06-28,30,0.4,62b227bc-fdc9-429f-98a2-b0a256322cb8,270,1800000.0,0.235,7500.0,8700.0,0.111,0,rp,revenue-based-capped,working-capital,2,1,2022-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,1d58a832-99c1-400f-9411-5b7aed826ba5,2022-03-04,370dc4de-0ea4-4ae7-9c6b-94f03508c47f,2022-03-17,30,0.5,37935c95-9bad-49e6-b05a-317907d4ca5e,210,4500000.0,0.0,21140.0,21140.0,0.11,0,0,fixed-payments,working-capital,2,1,2022-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,014dd29f-5b6b-48bb-9531-92b8f8651b9e,2022-02-22,5f21b17f-84a0-4ce6-9357-8ee5abae6be6,2022-03-02,30,0.35,4b04eac4-b5fd-4a73-8a90-86442cd16ae1,120,400000.0,0.0,2450.0,2450.0,0.095,0,0,fixed-payments,working-capital,3,1,2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,ccfd48e1-71d2-406a-a075-af797d265727,2022-03-21,499e57d8-bc58-4a81-bba2-8655772e6865,2022-03-29,30,0.34,390d2c1a-6344-4913-b8f8-045ecf9c1d4b,270,420000.0,0.0,1965.0,1965.0,0.122,0,0,fixed-payments,working-capital,1,1,2022-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,9b7e0184-9e4f-4927-98be-bd11eacaae29,2022-03-08,1a15460a-93f6-4954-8a8c-ab9c1fe16999,2022-03-23,30,0.3,b98f14e8-723e-4159-a71b-cee0debe4886,180,400000.0,0.22,1400.0,2000.0,0.135,0,0,revenue-based-capped,working-capital,1,1,2022-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,6bfb4c85-e081-4905-be1f-2480489162c8,2022-06-21,e89951d1-47fd-4d25-b602-d9f082b00a9d,2022-07-01,30,0.4,00979802-b4d4-441c-a86b-c07d83ec4069,270,1500000.0,0.0,7100.0,7100.0,0.119,0,rp,fixed-payments,working-capital,1,1,2022-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,d8428a55-0efc-45f8-8e69-1dcab0e4e780,2022-06-20,d8b21a23-d5d6-429f-b5a7-b51f13f583bd,2022-07-05,30,0.35,c48f056e-f180-42ac-9a78-b53603b0f08a,420,800000.0,0.0,5200.0,5200.0,0.122,05625e50-5f1d-4fc4-a2a7-873456ae9bd9,rp,fixed-payments,working-capital,2,1,2022-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,44c0ab77-03af-4c2e-ba55-21e9dde26e68,2022-06-22,6db13b8f-b7ff-4437-93a1-bda15b8cbb7e,2022-06-29,30,0.3,6b8745e8-7195-4ee3-b652-bac6023c99a9,270,750000.0,0.242,2850.0,3700.0,0.107,0,rp,revenue-based-capped,working-capital,1,1,2022-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,a998044b-cfc4-48e2-95ca-2b753b85a5e0,2022-03-03,44842e20-d9c7-4899-9176-b0cf5fd5eb1e,2022-03-09,30,0.4,837aded3-12e7-40f7-a3f3-5a58b392c0bb,150,750000.0,0.175,3550.0,4400.0,0.099,0,0,revenue-based-capped,working-capital,1,1,2022-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,8989d84f-ae30-4f89-bd91-02c2c121911e,2022-06-16,e8b94d3b-9e55-4b40-9dcc-d26883a6d235,2022-06-21,30,0.65,e6e8fdd6-02f6-4438-8a73-18729e32e00f,420,500000.0,0.0,4620.0,4620.0,0.16,69ffdc3f-9076-4822-bad8-4d3ad64273e0,rp,fixed-payments,working-capital,1,1,2022-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,d8535006-179f-4b32-952f-fad07b7dbe1d,2022-06-23,c2db0028-e261-4bb7-9a11-8762be135709,2022-06-30,30,0.3,4d2aee47-1254-46a0-8adf-1c7405bfc120,300,1300000.0,0.16,5080.0,7000.0,0.104,0,rp,revenue-based-capped,working-capital,3,1,2022-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,00bf6853-9b3e-4ee6-8274-50e48017e8a6,2022-03-07,31755056-f575-470a-bb82-dbaf94bf48e8,2022-03-10,60,0.5,028edd91-b6eb-46f1-9a20-b32466df53f7,120,22000000.0,0.0,199000.0,199000.0,0.0715,0,0,fixed-payments,working-capital,1,1,2022-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,31a935e6-4543-4dde-9949-bbb80e263daf,2022-05-12,08e40343-54aa-49d1-9317-4dbcd16ee70f,2022-05-16,60,0.5,95a3831f-8cb0-4102-a9f6-20a8fe65be22,210,7950000.0,0.0,60600.0,60600.0,0.082,0,rp,fixed-payments,working-capital,1,1,2022-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,ad596894-a209-4bc0-aafc-186761278f32,2022-06-22,c3032229-eb0e-40af-b2ad-9f08bfa9b413,2022-07-07,30,0.3,8d80a583-4341-49a3-9a45-4caa86d36724,270,650000.0,0.22,2700.0,3400.0,0.108,0,rp,revenue-based-capped,working-capital,3,1,2022-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,96425db0-65d6-4f4e-b25b-faff36273a66,2022-03-09,f9e9d7f9-f66d-41ce-a1d5-2ad7c9577279,2022-03-22,30,0.35,c60ff47f-764f-45e5-a31b-eddc527cbbc2,180,5000000.0,0.065,22000.0,25000.0,0.1,0,0,revenue-based-capped,working-capital,1,1,2022-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,d56c5294-4ce7-4326-94a2-0488fa06a091,2022-03-18,0620e8a0-1bfb-4204-bc3a-bca0869c4a1e,2022-03-28,30,0.34,c51c3d57-183a-488f-9e2d-9225d65fe2f3,270,1200000.0,0.0,5520.0,5520.0,0.104,0,0,fixed-payments,working-capital,3,1,2022-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,51b1a78f-a4f2-43e0-9f0d-649039807e21,2022-03-11,a032c4c3-80bf-4611-a2a0-ebba7bc687f2,2022-03-28,30,0.4,2c9e0af5-a094-49b0-8826-206aad3e6e19,210,600000.0,0.15,2300.0,2900.0,0.127,0,0,revenue-based-capped,working-capital,3,1,2022-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,e174b8c0-9ef8-41f3-9b2c-9e77601b76ee,2022-03-16,1e48d4fc-ca77-4dd1-b927-68ea77611014,2022-03-22,30,0.5,057ed4f6-bed8-4ca0-9bd3-a1fc44d17629,270,1500000.0,0.0,11200.0,11200.0,0.114,1d881bc8-79a4-44ea-a737-0a81682ebca3,0,fixed-payments,working-capital,1,1,2022-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,54b56204-76aa-4df1-b7e1-5528b6fe4dff,2022-03-19,3fe628d9-2c61-480a-838e-42698e7a795d,2022-03-29,30,0.3,ec08debb-0ea6-43fd-a1de-38c0a428301b,150,1000000.0,0.24,3900.0,5100.0,0.105,0,0,revenue-based-capped,working-capital,2,1,2022-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,57d6cfe9-e1fe-4f00-b0d1-cb1cc68c6516,2022-03-31,656583a6-47fa-4164-9369-3e70f91b03ba,2022-04-08,45,0.5,16d9af2e-7073-40c4-ac28-2f9122969d9f,150,12000000.0,0.0,108650.0,108650.0,0.0745,0,0,fixed-payments,working-capital,1,1,2022-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,3960d1ce-1931-4ff2-be02-53a922a8ba1a,2022-03-25,c6530cf1-6942-4341-aa7a-36dfa3514de8,2022-03-28,30,1.0,678be84e-24b5-4ca0-83cc-d83bfa5bcf06,150,16000000.0,0.0,144133.0,144133.0,0.081,0,0,fixed-payments,working-capital,2,1,2022-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
